SpellingScore,WritingSampleScore,SentenceFluencyScore,Motivation1,Motivation2,Motivation3,Motivation4
104,101,96,1,2,3,3
97,102,103,3,3,2,2
100,99,102,5,4,5,5
95,99,89,4,3,4,3
104,103,110,3,2,3,5
97,107,100,4,5,5,3
94,110,113,3,4,4,2
106,99,102,4,5,5,5
107,109,99,4,4,3,4
113,102,101,4,5,4,5
113,94,102,2,2,2,1
94,99,100,3,4,3,3
100,103,102,4,4,4,4
94,95,105,3,2,3,1
94,98,109,4,2,3,3
107,104,93,3,3,2,3
110,99,96,3,2,3,3
102,117,99,1,1,2,2
105,107,104,5,4,4,3
100,103,95,3,3,2,2
99,98,94,3,3,2,3
110,111,112,3,4,5,5
106,91,101,3,3,2,2
100,99,101,1,2,2,3
94,97,100,3,4,4,3
98,100,107,2,3,2,4
107,105,108,4,4,4,5
111,95,101,5,5,5,4
100,100,102,3,4,5,4
88,100,91,1,2,3,2
108,112,105,2,3,2,2
108,107,99,3,3,2,3
107,112,114,4,4,4,2
101,102,80,2,1,2,4
103,107,106,4,4,3,4
101,97,106,3,2,3,5
87,99,99,1,1,1,2
88,96,101,4,3,3,1
84,94,107,1,3,2,3
100,92,95,3,3,3,3
102,107,107,4,2,3,4
100,102,102,2,2,3,2
99,103,102,2,3,2,3
108,109,102,3,4,3,3
100,102,102,1,2,2,3
100,103,102,3,3,3,3
105,100,96,4,5,4,4
96,91,101,2,3,3,2
105,101,108,4,4,3,3
101,107,108,5,3,4,2
108,108,115,3,2,3,3
99,100,103,3,3,3,5
97,113,101,2,2,2,2
114,106,90,1,2,2,3
87,102,109,1,1,1,1
111,103,97,3,2,3,3
120,118,96,3,5,5,3
86,113,110,2,1,2,2
105,110,99,5,4,3,5
97,103,101,1,3,1,2
99,105,106,1,1,1,1
96,110,110,3,2,3,1
100,101,94,2,1,2,1
89,104,90,4,4,3,3
102,108,100,3,4,3,3
101,102,106,4,5,4,2
103,103,110,4,4,4,4
89,107,96,4,5,4,4
113,113,113,3,2,1,3
92,108,110,2,4,3,2
103,109,115,3,4,3,4
92,90,102,3,2,3,5
98,91,101,4,4,4,4
94,95,90,3,4,3,3
99,96,89,3,3,2,2
105,105,102,5,5,3,4
95,97,105,3,2,4,3
101,105,110,4,2,3,5
97,100,98,2,2,3,2
99,95,92,3,3,3,2
108,114,94,4,3,2,3
94,96,92,4,5,4,5
93,101,95,3,2,3,1
113,109,112,4,3,3,4
92,99,105,2,2,3,2
97,112,98,4,4,3,3
109,113,104,2,1,1,2
99,95,95,1,2,1,3
107,98,92,2,3,4,2
114,105,113,5,4,5,4
87,96,104,4,3,2,4
91,98,102,2,3,4,3
96,103,98,1,1,1,3
96,97,94,3,3,3,3
98,100,103,4,5,3,2
96,105,105,3,4,4,2
92,101,114,2,1,2,2
100,95,102,3,4,3,3
102,106,98,2,2,2,1
104,103,109,4,4,4,2
91,99,92,1,1,1,1
107,101,106,3,3,3,3
106,109,96,5,5,5,5
98,101,103,4,3,3,4
105,104,103,3,1,3,4
